pair.n,AOU.1,AOU.2,sp.1.english,sp.2.english,sp1sp2,species1species2,In.BBS,sp.1.sci,sp.2.sci,sp1.first.breeding.month,sp1.last.breeding.month,sp1.first.peak.breeding.month,sp1.last.peak.breeding.month,sp2.first.breeding.month,sp2.last.breeding.month,sp2.first.peak.breeding.month,sp2.last.peak.breeding.month,first_breeding_month,last_breeding_month
365,4660,6800,Willow Flycatcher,MacGillivray's Warbler,46606800,Willow FlycatcherMacGillivray's Warbler,1,Empidonax traillii,Geothlypis tolmiei,5,9,6,7,5,8,5,7,5,7
366,4660,6810,Willow Flycatcher,Common Yellowthroat,46606810,Willow FlycatcherCommon Yellowthroat,1,Empidonax traillii,Geothlypis trichas,5,9,6,7,5,7,5,7,5,7
367,4660,6840,Willow Flycatcher,Hooded Warbler,46606840,Willow FlycatcherHooded Warbler,1,Empidonax traillii,Setophaga citrina,5,9,6,7,5,8,5,7,5,7
368,4660,6850,Willow Flycatcher,Wilson's Warbler,46606850,Willow FlycatcherWilson's Warbler,1,Empidonax traillii,Cardellina pusilla,5,9,6,7,6,8,6,7,6,7
369,4660,6870,Willow Flycatcher,American Redstart,46606870,Willow FlycatcherAmerican Redstart,1,Empidonax traillii,Setophaga ruticilla,5,9,6,7,5,7,5,7,5,7
370,4661,4670,Alder Flycatcher,Least Flycatcher,46614670,Alder FlycatcherLeast Flycatcher,1,Empidonax alnorum,Empidonax minimus,6,8,6,7,5,8,6,7,6,7
371,4661,4680,Alder Flycatcher,Hammond's Flycatcher,46614680,Alder FlycatcherHammond's Flycatcher,1,Empidonax alnorum,Empidonax hammondii,6,8,6,7,5,8,6,7,6,7
372,4661,4690,Alder Flycatcher,Dusky Flycatcher,46614690,Alder FlycatcherDusky Flycatcher,1,Empidonax alnorum,Empidonax oberholseri,6,8,6,7,5,8,6,7,6,7
373,4661,6360,Alder Flycatcher,Black-and-white Warbler,46616360,Alder FlycatcherBlack-and-white Warbler,1,Empidonax alnorum,Mniotilta varia,6,8,6,7,4,8,5,7,6,7
374,4661,6410,Alder Flycatcher,Blue-winged Warbler,46616410,Alder FlycatcherBlue-winged Warbler,1,Empidonax alnorum,Vermivora cyanoptera,6,8,6,7,5,6,5,6,6,6
375,4661,6420,Alder Flycatcher,Golden-winged Warbler,46616420,Alder FlycatcherGolden-winged Warbler,1,Empidonax alnorum,Vermivora chrysoptera,6,8,6,7,5,7,5,7,6,7
376,4661,6450,Alder Flycatcher,Nashville Warbler,46616450,Alder FlycatcherNashville Warbler,1,Empidonax alnorum,Oreothlypis ruficapilla,6,8,6,7,5,7,5,7,6,7
377,4661,6460,Alder Flycatcher,Orange-crowned Warbler,46616460,Alder FlycatcherOrange-crowned Warbler,1,Empidonax alnorum,Oreothlypis celata,6,8,6,7,3,7,4,6,6,7
378,4661,6470,Alder Flycatcher,Tennessee Warbler,46616470,Alder FlycatcherTennessee Warbler,1,Empidonax alnorum,Oreothlypis peregrina,6,8,6,7,6,8,6,8,6,8
379,4661,6480,Alder Flycatcher,Northern Parula,46616480,Alder FlycatcherNorthern Parula,1,Empidonax alnorum,Setophaga americana,6,8,6,7,4,8,4,7,6,7
380,4661,6500,Alder Flycatcher,Cape May Warbler,46616500,Alder FlycatcherCape May Warbler,1,Empidonax alnorum,Setophaga tigrina,6,8,6,7,6,7,6,7,6,7
381,4661,6520,Alder Flycatcher,Yellow Warbler,46616520,Alder FlycatcherYellow Warbler,1,Empidonax alnorum,Setophaga petechia,6,8,6,7,5,8,6,7,6,7
382,4661,6550,Alder Flycatcher,(Myrtle Warbler) Yellow-rumped Warbler,46616550,Alder Flycatcher(Myrtle Warbler) Yellow-rumped Warbler,1,Empidonax alnorum,Setophaga coronata coronata,6,8,6,7,5,8,5,7,6,7
383,4661,6560,Alder Flycatcher,(Audubon's Warbler) Yellow-rumpedWarbler,46616560,Alder Flycatcher(Audubon's Warbler) Yellow-rumpedWarbler,1,Empidonax alnorum,Setophaga coronata audoboni,6,8,6,7,5,8,5,8,6,8
384,4661,6570,Alder Flycatcher,Magnolia Warbler,46616570,Alder FlycatcherMagnolia Warbler,1,Empidonax alnorum,Setophaga magnolia,6,8,6,7,6,8,6,8,6,8
385,4661,6590,Alder Flycatcher,Chestnut-sided Warbler,46616590,Alder FlycatcherChestnut-sided Warbler,1,Empidonax alnorum,Setophaga pensylvanica,6,8,6,7,5,9,5,8,6,8
386,4661,6620,Alder Flycatcher,Blackburnian Warbler,46616620,Alder FlycatcherBlackburnian Warbler,1,Empidonax alnorum,Setophaga fusca,6,8,6,7,5,7,6,7,6,7
387,4661,6670,Alder Flycatcher,Black-throated Green Warbler,46616670,Alder FlycatcherBlack-throated Green Warbler,1,Empidonax alnorum,Setophaga virens,6,8,6,7,5,8,5,7,6,7
388,4661,6680,Alder Flycatcher,Townsend's Warbler,46616680,Alder FlycatcherTownsend's Warbler,1,Empidonax alnorum,Setophaga townsendi,6,8,6,7,5,7,5,7,6,7
389,4661,6710,Alder Flycatcher,Pine Warbler,46616710,Alder FlycatcherPine Warbler,1,Empidonax alnorum,Setophaga pinus,6,8,6,7,3,7,4,7,6,7
390,4661,6740,Alder Flycatcher,Ovenbird,46616740,Alder FlycatcherOvenbird,1,Empidonax alnorum,Seiurus aurocapilla,6,8,6,7,5,7,5,7,6,7
391,4661,6750,Alder Flycatcher,Northern Waterthrush,46616750,Alder FlycatcherNorthern Waterthrush,1,Empidonax alnorum,Parkesia noveboracensis,6,8,6,7,5,8,5,7,6,7
392,4661,6770,Alder Flycatcher,Kentucky Warbler,46616770,Alder FlycatcherKentucky Warbler,1,Empidonax alnorum,Geothlypis formosa,6,8,6,7,4,8,6,8,6,8
393,4661,6790,Alder Flycatcher,Mourning Warbler,46616790,Alder FlycatcherMourning Warbler,1,Empidonax alnorum,Geothlypis philadelphia,6,8,6,7,5,9,6,8,6,8
394,4661,6800,Alder Flycatcher,MacGillivray's Warbler,46616800,Alder FlycatcherMacGillivray's Warbler,1,Empidonax alnorum,Geothlypis tolmiei,6,8,6,7,5,8,5,7,6,7
395,4661,6810,Alder Flycatcher,Common Yellowthroat,46616810,Alder FlycatcherCommon Yellowthroat,1,Empidonax alnorum,Geothlypis trichas,6,8,6,7,5,7,5,7,6,7
396,4661,6850,Alder Flycatcher,Wilson's Warbler,46616850,Alder FlycatcherWilson's Warbler,1,Empidonax alnorum,Cardellina pusilla,6,8,6,7,6,8,6,7,6,7
397,4661,6870,Alder Flycatcher,American Redstart,46616870,Alder FlycatcherAmerican Redstart,1,Empidonax alnorum,Setophaga ruticilla,6,8,6,7,5,7,5,7,6,7
398,4661,7480,Alder Flycatcher,Golden-crowned Kinglet,46617480,Alder FlycatcherGolden-crowned Kinglet,1,Empidonax alnorum,Regulus satrapa,6,8,6,7,5,8,5,8,6,8
399,4670,4680,Least Flycatcher,Hammond's Flycatcher,46704680,Least FlycatcherHammond's Flycatcher,1,Empidonax minimus,Empidonax hammondii,5,8,6,7,5,8,6,7,6,7
400,4670,4690,Least Flycatcher,Dusky Flycatcher,46704690,Least FlycatcherDusky Flycatcher,1,Empidonax minimus,Empidonax oberholseri,5,8,6,7,5,8,6,7,6,7
401,4670,6360,Least Flycatcher,Black-and-white Warbler,46706360,Least FlycatcherBlack-and-white Warbler,1,Empidonax minimus,Mniotilta varia,5,8,6,7,4,8,5,7,5,7
402,4670,6410,Least Flycatcher,Blue-winged Warbler,46706410,Least FlycatcherBlue-winged Warbler,1,Empidonax minimus,Vermivora cyanoptera,5,8,6,7,5,6,5,6,5,6
403,4670,6420,Least Flycatcher,Golden-winged Warbler,46706420,Least FlycatcherGolden-winged Warbler,1,Empidonax minimus,Vermivora chrysoptera,5,8,6,7,5,7,5,7,5,7
404,4670,6450,Least Flycatcher,Nashville Warbler,46706450,Least FlycatcherNashville Warbler,1,Empidonax minimus,Oreothlypis ruficapilla,5,8,6,7,5,7,5,7,5,7
405,4670,6460,Least Flycatcher,Orange-crowned Warbler,46706460,Least FlycatcherOrange-crowned Warbler,1,Empidonax minimus,Oreothlypis celata,5,8,6,7,3,7,4,6,5,7
406,4670,6470,Least Flycatcher,Tennessee Warbler,46706470,Least FlycatcherTennessee Warbler,1,Empidonax minimus,Oreothlypis peregrina,5,8,6,7,6,8,6,8,6,8
407,4670,6480,Least Flycatcher,Northern Parula,46706480,Least FlycatcherNorthern Parula,1,Empidonax minimus,Setophaga americana,5,8,6,7,4,8,4,7,5,7
408,4670,6500,Least Flycatcher,Cape May Warbler,46706500,Least FlycatcherCape May Warbler,1,Empidonax minimus,Setophaga tigrina,5,8,6,7,6,7,6,7,6,7
409,4670,6520,Least Flycatcher,Yellow Warbler,46706520,Least FlycatcherYellow Warbler,1,Empidonax minimus,Setophaga petechia,5,8,6,7,5,8,6,7,6,7
410,4670,6540,Least Flycatcher,Black-throated Blue Warbler,46706540,Least FlycatcherBlack-throated Blue Warbler,1,Empidonax minimus,Setophaga caerulescens,5,8,6,7,5,8,5,8,5,8
411,4670,6550,Least Flycatcher,(Myrtle Warbler) Yellow-rumped Warbler,46706550,Least Flycatcher(Myrtle Warbler) Yellow-rumped Warbler,1,Empidonax minimus,Setophaga coronata coronata,5,8,6,7,5,8,5,7,5,7
412,4670,6560,Least Flycatcher,(Audubon's Warbler) Yellow-rumpedWarbler,46706560,Least Flycatcher(Audubon's Warbler) Yellow-rumpedWarbler,1,Empidonax minimus,Setophaga coronata audoboni,5,8,6,7,5,8,5,8,5,8
413,4670,6570,Least Flycatcher,Magnolia Warbler,46706570,Least FlycatcherMagnolia Warbler,1,Empidonax minimus,Setophaga magnolia,5,8,6,7,6,8,6,8,6,8
414,4670,6580,Least Flycatcher,Cerulean Warbler,46706580,Least FlycatcherCerulean Warbler,1,Empidonax minimus,Setophaga cerulea,5,8,6,7,4,7,5,6,5,7
415,4670,6590,Least Flycatcher,Chestnut-sided Warbler,46706590,Least FlycatcherChestnut-sided Warbler,1,Empidonax minimus,Setophaga pensylvanica,5,8,6,7,5,9,5,8,5,8
416,4670,6600,Least Flycatcher,Bay-breasted Warbler,46706600,Least FlycatcherBay-breasted Warbler,1,Empidonax minimus,Setophaga castanea,5,8,6,7,5,7,5,7,5,7
417,4670,6610,Least Flycatcher,Blackpoll Warbler,46706610,Least FlycatcherBlackpoll Warbler,1,Empidonax minimus,Setophaga striata,5,8,6,7,5,8,6,7,6,7
418,4670,6620,Least Flycatcher,Blackburnian Warbler,46706620,Least FlycatcherBlackburnian Warbler,1,Empidonax minimus,Setophaga fusca,5,8,6,7,5,7,6,7,6,7
419,4670,6670,Least Flycatcher,Black-throated Green Warbler,46706670,Least FlycatcherBlack-throated Green Warbler,1,Empidonax minimus,Setophaga virens,5,8,6,7,5,8,5,7,5,7
420,4670,6680,Least Flycatcher,Townsend's Warbler,46706680,Least FlycatcherTownsend's Warbler,1,Empidonax minimus,Setophaga townsendi,5,8,6,7,5,7,5,7,5,7
421,4670,6710,Least Flycatcher,Pine Warbler,46706710,Least FlycatcherPine Warbler,1,Empidonax minimus,Setophaga pinus,5,8,6,7,3,7,4,7,5,7
422,4670,6730,Least Flycatcher,Prairie Warbler,46706730,Least FlycatcherPrairie Warbler,1,Empidonax minimus,Setophaga discolor,5,8,6,7,5,7,5,7,5,7
423,4670,6740,Least Flycatcher,Ovenbird,46706740,Least FlycatcherOvenbird,1,Empidonax minimus,Seiurus aurocapilla,5,8,6,7,5,7,5,7,5,7
424,4670,6750,Least Flycatcher,Northern Waterthrush,46706750,Least FlycatcherNorthern Waterthrush,1,Empidonax minimus,Parkesia noveboracensis,5,8,6,7,5,8,5,7,5,7
425,4670,6760,Least Flycatcher,Louisiana Waterthrush,46706760,Least FlycatcherLouisiana Waterthrush,1,Empidonax minimus,Parkesia motacilla,5,8,6,7,4,7,4,6,5,7
426,4670,6770,Least Flycatcher,Kentucky Warbler,46706770,Least FlycatcherKentucky Warbler,1,Empidonax minimus,Geothlypis formosa,5,8,6,7,4,8,6,8,6,8
427,4670,6790,Least Flycatcher,Mourning Warbler,46706790,Least FlycatcherMourning Warbler,1,Empidonax minimus,Geothlypis philadelphia,5,8,6,7,5,9,6,8,6,8
428,4670,6800,Least Flycatcher,MacGillivray's Warbler,46706800,Least FlycatcherMacGillivray's Warbler,1,Empidonax minimus,Geothlypis tolmiei,5,8,6,7,5,8,5,7,5,7
429,4670,6810,Least Flycatcher,Common Yellowthroat,46706810,Least FlycatcherCommon Yellowthroat,1,Empidonax minimus,Geothlypis trichas,5,8,6,7,5,7,5,7,5,7
430,4670,6830,Least Flycatcher,Yellow-breasted Chat,46706830,Least FlycatcherYellow-breasted Chat,1,Empidonax minimus,Icteria virens,5,8,6,7,5,8,5,7,5,7
431,4670,6840,Least Flycatcher,Hooded Warbler,46706840,Least FlycatcherHooded Warbler,1,Empidonax minimus,Setophaga citrina,5,8,6,7,5,8,5,7,5,7
432,4670,6850,Least Flycatcher,Wilson's Warbler,46706850,Least FlycatcherWilson's Warbler,1,Empidonax minimus,Cardellina pusilla,5,8,6,7,6,8,6,7,6,7
433,4670,6860,Least Flycatcher,Canada Warbler,46706860,Least FlycatcherCanada Warbler,1,Empidonax minimus,Cardellina canadensis,5,8,6,7,5,8,6,7,6,7
434,4670,6870,Least Flycatcher,American Redstart,46706870,Least FlycatcherAmerican Redstart,1,Empidonax minimus,Setophaga ruticilla,5,8,6,7,5,7,5,7,5,7
435,4670,7310,Least Flycatcher,Tufted Titmouse,46707310,Least FlycatcherTufted Titmouse,1,Empidonax minimus,Baeolophus bicolor,5,8,6,7,4,7,4,7,5,7
436,4670,7350,Least Flycatcher,Black-capped Chickadee,46707350,Least FlycatcherBlack-capped Chickadee,1,Empidonax minimus,Poecile atricapillus,5,8,6,7,4,7,4,6,5,7
437,4670,7380,Least Flycatcher,Mountain Chickadee,46707380,Least FlycatcherMountain Chickadee,1,Empidonax minimus,Poecile gambeli,5,8,6,7,4,8,5,7,5,7
438,4670,7400,Least Flycatcher,Boreal Chickadee,46707400,Least FlycatcherBoreal Chickadee,1,Empidonax minimus,Poecile hudsonicus,5,8,6,7,5,8,5,8,5,8
439,4670,7480,Least Flycatcher,Golden-crowned Kinglet,46707480,Least FlycatcherGolden-crowned Kinglet,1,Empidonax minimus,Regulus satrapa,5,8,6,7,5,8,5,8,5,8
440,4670,7490,Least Flycatcher,Ruby-crowned Kinglet,46707490,Least FlycatcherRuby-crowned Kinglet,1,Empidonax minimus,Regulus calendula,5,8,6,7,5,7,5,7,5,7
441,4680,4690,Hammond's Flycatcher,Dusky Flycatcher,46804690,Hammond's FlycatcherDusky Flycatcher,1,Empidonax hammondii,Empidonax oberholseri,5,8,6,7,5,8,6,7,6,7
442,4680,4691,Hammond's Flycatcher,Gray Flycatcher,46804691,Hammond's FlycatcherGray Flycatcher,1,Empidonax hammondii,Empidonax wrightii,5,8,6,7,5,8,5,8,5,8
443,4680,6440,Hammond's Flycatcher,Virginia's Warbler,46806440,Hammond's FlycatcherVirginia's Warbler,1,Empidonax hammondii,Oreothlypis virginiae,5,8,6,7,5,7,5,6,5,7
444,4680,6450,Hammond's Flycatcher,Nashville Warbler,46806450,Hammond's FlycatcherNashville Warbler,1,Empidonax hammondii,Oreothlypis ruficapilla,5,8,6,7,5,7,5,7,5,7
445,4680,6460,Hammond's Flycatcher,Orange-crowned Warbler,46806460,Hammond's FlycatcherOrange-crowned Warbler,1,Empidonax hammondii,Oreothlypis celata,5,8,6,7,3,7,4,6,5,7
446,4680,6520,Hammond's Flycatcher,Yellow Warbler,46806520,Hammond's FlycatcherYellow Warbler,1,Empidonax hammondii,Setophaga petechia,5,8,6,7,5,8,6,7,6,7
447,4680,6560,Hammond's Flycatcher,(Audubon's Warbler) Yellow-rumpedWarbler,46806560,Hammond's Flycatcher(Audubon's Warbler) Yellow-rumpedWarbler,1,Empidonax hammondii,Setophaga coronata audoboni,5,8,6,7,5,8,5,8,5,8
448,4680,6650,Hammond's Flycatcher,Black-throated Gray Warbler,46806650,Hammond's FlycatcherBlack-throated Gray Warbler,1,Empidonax hammondii,Setophaga nigrescens,5,8,6,7,5,7,5,7,5,7
449,4680,6680,Hammond's Flycatcher,Townsend's Warbler,46806680,Hammond's FlycatcherTownsend's Warbler,1,Empidonax hammondii,Setophaga townsendi,5,8,6,7,5,7,5,7,5,7
450,4680,6690,Hammond's Flycatcher,Hermit Warbler,46806690,Hammond's FlycatcherHermit Warbler,1,Empidonax hammondii,Setophaga occidentalis,5,8,6,7,5,7,5,6,5,7
451,4680,6800,Hammond's Flycatcher,MacGillivray's Warbler,46806800,Hammond's FlycatcherMacGillivray's Warbler,1,Empidonax hammondii,Geothlypis tolmiei,5,8,6,7,5,8,5,7,5,7
452,4680,6810,Hammond's Flycatcher,Common Yellowthroat,46806810,Hammond's FlycatcherCommon Yellowthroat,1,Empidonax hammondii,Geothlypis trichas,5,8,6,7,5,7,5,7,5,7
453,4680,6830,Hammond's Flycatcher,Yellow-breasted Chat,46806830,Hammond's FlycatcherYellow-breasted Chat,1,Empidonax hammondii,Icteria virens,5,8,6,7,5,8,5,7,5,7
454,4680,6850,Hammond's Flycatcher,Wilson's Warbler,46806850,Hammond's FlycatcherWilson's Warbler,1,Empidonax hammondii,Cardellina pusilla,5,8,6,7,6,8,6,7,6,7
455,4680,6870,Hammond's Flycatcher,American Redstart,46806870,Hammond's FlycatcherAmerican Redstart,1,Empidonax hammondii,Setophaga ruticilla,5,8,6,7,5,7,5,7,5,7
456,4690,4691,Dusky Flycatcher,Gray Flycatcher,46904691,Dusky FlycatcherGray Flycatcher,1,Empidonax oberholseri,Empidonax wrightii,5,8,6,7,5,8,5,8,5,8
457,4690,6440,Dusky Flycatcher,Virginia's Warbler,46906440,Dusky FlycatcherVirginia's Warbler,1,Empidonax oberholseri,Oreothlypis virginiae,5,8,6,7,5,7,5,6,5,7
458,4690,6450,Dusky Flycatcher,Nashville Warbler,46906450,Dusky FlycatcherNashville Warbler,1,Empidonax oberholseri,Oreothlypis ruficapilla,5,8,6,7,5,7,5,7,5,7
459,4690,6460,Dusky Flycatcher,Orange-crowned Warbler,46906460,Dusky FlycatcherOrange-crowned Warbler,1,Empidonax oberholseri,Oreothlypis celata,5,8,6,7,3,7,4,6,5,7
460,4690,6520,Dusky Flycatcher,Yellow Warbler,46906520,Dusky FlycatcherYellow Warbler,1,Empidonax oberholseri,Setophaga petechia,5,8,6,7,5,8,6,7,6,7
461,4690,6560,Dusky Flycatcher,(Audubon's Warbler) Yellow-rumpedWarbler,46906560,Dusky Flycatcher(Audubon's Warbler) Yellow-rumpedWarbler,1,Empidonax oberholseri,Setophaga coronata audoboni,5,8,6,7,5,8,5,8,5,8
462,4690,6650,Dusky Flycatcher,Black-throated Gray Warbler,46906650,Dusky FlycatcherBlack-throated Gray Warbler,1,Empidonax oberholseri,Setophaga nigrescens,5,8,6,7,5,7,5,7,5,7
463,4690,6680,Dusky Flycatcher,Townsend's Warbler,46906680,Dusky FlycatcherTownsend's Warbler,1,Empidonax oberholseri,Setophaga townsendi,5,8,6,7,5,7,5,7,5,7
464,4690,6690,Dusky Flycatcher,Hermit Warbler,46906690,Dusky FlycatcherHermit Warbler,1,Empidonax oberholseri,Setophaga occidentalis,5,8,6,7,5,7,5,6,5,7
465,4690,6740,Dusky Flycatcher,Ovenbird,46906740,Dusky FlycatcherOvenbird,1,Empidonax oberholseri,Seiurus aurocapilla,5,8,6,7,5,7,5,7,5,7
466,4690,6800,Dusky Flycatcher,MacGillivray's Warbler,46906800,Dusky FlycatcherMacGillivray's Warbler,1,Empidonax oberholseri,Geothlypis tolmiei,5,8,6,7,5,8,5,7,5,7
467,4690,6810,Dusky Flycatcher,Common Yellowthroat,46906810,Dusky FlycatcherCommon Yellowthroat,1,Empidonax oberholseri,Geothlypis trichas,5,8,6,7,5,7,5,7,5,7
468,4690,6830,Dusky Flycatcher,Yellow-breasted Chat,46906830,Dusky FlycatcherYellow-breasted Chat,1,Empidonax oberholseri,Icteria virens,5,8,6,7,5,8,5,7,5,7
469,4690,6850,Dusky Flycatcher,Wilson's Warbler,46906850,Dusky FlycatcherWilson's Warbler,1,Empidonax oberholseri,Cardellina pusilla,5,8,6,7,6,8,6,7,6,7
470,4690,6870,Dusky Flycatcher,American Redstart,46906870,Dusky FlycatcherAmerican Redstart,1,Empidonax oberholseri,Setophaga ruticilla,5,8,6,7,5,7,5,7,5,7
471,4691,6440,Gray Flycatcher,Virginia's Warbler,46916440,Gray FlycatcherVirginia's Warbler,1,Empidonax wrightii,Oreothlypis virginiae,5,8,5,8,5,7,5,6,5,7
472,4691,6460,Gray Flycatcher,Orange-crowned Warbler,46916460,Gray FlycatcherOrange-crowned Warbler,1,Empidonax wrightii,Oreothlypis celata,5,8,5,8,3,7,4,6,5,7
473,4710,6650,Vermilion Flycatcher,Black-throated Gray Warbler,47106650,Vermilion FlycatcherBlack-throated Gray Warbler,1,Pyrocephalus rubinus,Setophaga nigrescens,3,7,4,6,5,7,5,7,5,7
474,4710,7340,Vermilion Flycatcher,Bridled Titmouse,47107340,Vermilion FlycatcherBridled Titmouse,1,Pyrocephalus rubinus,Baeolophus wollweberi,3,7,4,6,4,7,4,7,4,7
475,4710,7430,Vermilion Flycatcher,Bushtit,47107430,Vermilion FlycatcherBushtit,1,Pyrocephalus rubinus,Psaltriparus minimus,3,7,4,6,3,8,4,7,4,7
476,4720,6650,Northern Beardless-Tyrannulet,Black-throated Gray Warbler,47206650,Northern Beardless-TyrannuletBlack-throated Gray Warbler,1,Camptostoma imberbe,Setophaga nigrescens,5,9,5,7,5,7,5,7,5,7
477,4720,7340,Northern Beardless-Tyrannulet,Bridled Titmouse,47207340,Northern Beardless-TyrannuletBridled Titmouse,1,Camptostoma imberbe,Baeolophus wollweberi,5,9,5,7,4,7,4,7,5,7
478,4720,7430,Northern Beardless-Tyrannulet,Bushtit,47207430,Northern Beardless-TyrannuletBushtit,1,Camptostoma imberbe,Psaltriparus minimus,5,9,5,7,3,8,4,7,5,7
479,4740,5380,Horned Lark,Chestnut-collared Longspur,47405380,Horned LarkChestnut-collared Longspur,1,Eremophila alpestris,Calcarius ornatus,2,8,3,7,5,8,5,7,5,7
480,4740,5390,Horned Lark,McCown's Longspur,47405390,Horned LarkMcCown's Longspur,1,Eremophila alpestris,Rhynchophanes mccownii,2,8,3,7,5,8,5,8,5,8
481,4740,5400,Horned Lark,Vesper Sparrow,47405400,Horned LarkVesper Sparrow,1,Eremophila alpestris,Pooecetes gramineus,2,8,3,7,4,8,5,7,4,7
482,4740,5420,Horned Lark,Savannah Sparrow,47405420,Horned LarkSavannah Sparrow,1,Eremophila alpestris,Passerculus sandwichensis,2,8,3,7,6,8,6,8,6,8
483,4740,5450,Horned Lark,Baird's Sparrow,47405450,Horned LarkBaird's Sparrow,1,Eremophila alpestris,Ammodramus bairdii,2,8,3,7,5,8,6,8,5,8
484,4740,5460,Horned Lark,Grasshopper Sparrow,47405460,Horned LarkGrasshopper Sparrow,1,Eremophila alpestris,Ammodramus savannarum,2,8,3,7,6,8,6,7,6,7
485,4740,5480,Horned Lark,Le Conte's Sparrow,47405480,Horned LarkLe Conte's Sparrow,1,Eremophila alpestris,Ammodramus leconteii,2,8,3,7,6,8,6,8,6,7
486,4740,5520,Horned Lark,Lark Sparrow,47405520,Horned LarkLark Sparrow,1,Eremophila alpestris,Chondestes grammacus,2,8,3,7,4,8,5,6,4,7
487,4740,5580,Horned Lark,White-throated Sparrow,47405580,Horned LarkWhite-throated Sparrow,1,Eremophila alpestris,Zonotrichia albicollis,2,8,3,7,5,8,6,7,5,7
488,4740,5600,Horned Lark,Chipping Sparrow,47405600,Horned LarkChipping Sparrow,1,Eremophila alpestris,Spizella passerina,2,8,3,7,3,9,4,8,3,8
489,4740,5610,Horned Lark,Clay-colored Sparrow,47405610,Horned LarkClay-colored Sparrow,1,Eremophila alpestris,Spizella pallida,2,8,3,7,6,8,6,7,6,7
490,4740,5620,Horned Lark,Brewer's Sparrow,47405620,Horned LarkBrewer's Sparrow,1,Eremophila alpestris,Spizella breweri,2,8,3,7,5,8,6,7,5,7
491,4740,5780,Horned Lark,Cassin's Sparrow,47405780,Horned LarkCassin's Sparrow,1,Eremophila alpestris,Peucaea cassinii,2,8,3,7,5,10,6,9,5,8
492,4740,5810,Horned Lark,Song Sparrow,47405810,Horned LarkSong Sparrow,1,Eremophila alpestris,Melospiza melodia,2,8,3,7,2,9,4,7,3,7
493,4740,5880,Horned Lark,Spotted Towhee,47405880,Horned LarkSpotted Towhee,1,Eremophila alpestris,Pipilo maculatus,2,8,3,7,4,7,4,7,4,7
494,4740,6050,Horned Lark,Lark Bunting,47406050,Horned LarkLark Bunting,1,Eremophila alpestris,Calamospiza melanocorys,2,8,3,7,5,7,5,6,5,7
495,4780,4812,Steller's Jay,California Scrub-Jay,47804812,Steller's JayCalifornia Scrub-Jay,1,Cyanocitta stelleri,Aphelocoma californica,3,7,4,7,3,7,4,6,4,7
496,4780,4813,Steller's Jay,Woodhouse's Scrub-Jay,47804813,Steller's JayWoodhouse's Scrub-Jay,1,Cyanocitta stelleri,Aphelocoma woodhouseii,3,7,4,7,3,7,4,6,4,7
497,4812,4813,California Scrub-Jay,Woodhouse's Scrub-Jay,48124813,California Scrub-JayWoodhouse's Scrub-Jay,1,Aphelocoma californica,Aphelocoma woodhouseii,3,7,4,6,3,7,4,6,4,6
498,4812,4860,California Scrub-Jay,Common Raven,48124860,California Scrub-JayCommon Raven,1,Aphelocoma californica,Corvus corax,3,7,4,6,2,7,3,6,3,6
499,4812,4910,California Scrub-Jay,Clark's Nutcracker,48124910,California Scrub-JayClark's Nutcracker,1,Aphelocoma californica,Nucifraga columbiana,3,7,4,6,1,7,2,5,3,6
500,4812,4920,California Scrub-Jay,Pinyon Jay,48124920,California Scrub-JayPinyon Jay,1,Aphelocoma californica,Gymnorhinus cyanocephalus,3,7,4,6,2,7,2,7,3,7
501,4813,4860,Woodhouse's Scrub-Jay,Common Raven,48134860,Woodhouse's Scrub-JayCommon Raven,1,Aphelocoma woodhouseii,Corvus corax,3,7,4,6,2,7,3,6,3,6
502,4813,4910,Woodhouse's Scrub-Jay,Clark's Nutcracker,48134910,Woodhouse's Scrub-JayClark's Nutcracker,1,Aphelocoma woodhouseii,Nucifraga columbiana,3,7,4,6,1,7,2,5,3,6
503,4813,4920,Woodhouse's Scrub-Jay,Pinyon Jay,48134920,Woodhouse's Scrub-JayPinyon Jay,1,Aphelocoma woodhouseii,Gymnorhinus cyanocephalus,3,7,4,6,2,7,2,7,3,7
504,4940,4950,Bobolink,Brown-headed Cowbird,49404950,BobolinkBrown-headed Cowbird,1,Dolichonyx oryzivorus,Molothrus ater,5,7,5,6,4,8,5,7,5,7
505,4940,4970,Bobolink,Yellow-headed Blackbird,49404970,BobolinkYellow-headed Blackbird,1,Dolichonyx oryzivorus,Xanthocephalus xanthocephalus,5,7,5,6,5,7,5,7,5,7
506,4940,4980,Bobolink,Red-winged Blackbird,49404980,BobolinkRed-winged Blackbird,1,Dolichonyx oryzivorus,Agelaius phoeniceus,5,7,5,6,4,8,4,7,5,7
507,4940,5010,Bobolink,Eastern Meadowlark,49405010,BobolinkEastern Meadowlark,1,Dolichonyx oryzivorus,Sturnella magna,5,7,5,6,4,8,5,7,5,7
508,4940,5011,Bobolink,Western Meadowlark,49405011,BobolinkWestern Meadowlark,1,Dolichonyx oryzivorus,Sturnella neglecta,5,7,5,6,4,8,5,7,5,7
509,4940,5070,Bobolink,Baltimore Oriole,49405070,BobolinkBaltimore Oriole,1,Dolichonyx oryzivorus,Icterus galbula,5,7,5,6,5,7,5,6,5,6
